股票代碼,股票名稱,現價,10日前,10日%,20日前,20日%,10日均,10日均-5%,狀態,低於10日,距10日均%,RSI,今日高,今日低,成交量,均量,量比,52週高,52週低,本益比,市值,前1日,前1日%,前2日,前2日%,前3日,前3日%,前4日,前4日%,前5日,前5日%,前6日,前6日%,前7日,前7日%,更新時間
0050.TW,元大台灣50,105.25,105.5,-0.24,94.9,10.91,103.53,98.35,觀察中,OBS,1.66,58.6,105.5,104.3,100138601,114837089,0.87,107.6,45.67,30.74,,101.95,2.1,99.85,-0.4,100.25,-3.14,103.5,2.53,100.95,-3.07,104.15,-1.84,106.1,-1.39,2026-06-15T12:20:39
00631L.TW,元大台灣50正2,37.07,37.78,-1.88,30.91,19.93,35.99,34.19,觀察中,OBS,3.0,56.5,37.12,36.55,274982632,248576639,1.11,39.22,9.11,,,34.83,4.81,33.23,-0.6,33.43,-5.67,35.44,4.85,33.8,-7.83,36.67,-4.26,38.3,-2.35,2026-06-15T12:20:39
00675L.TW,富邦臺灣加權正2,325.85,333.65,-2.34,267.45,21.84,317.31,301.44,觀察中,OBS,2.69,55.6,328.6,322.7,2145008,2723601,0.79,346.65,79.9,,,307.55,5.11,292.6,-0.98,295.5,-5.46,312.55,5.79,295.45,-8.46,322.75,-4.68,338.6,-2.32,2026-06-15T12:20:39
00662.TW,富邦NASDAQ,122.45,122.75,-0.24,117.8,3.95,120.73,114.69,觀察中,OBS,1.42,55.2,122.5,122.1,5216461,5830377,0.89,123.95,82.15,39.25,,120.05,2.56,117.05,-0.43,117.55,-1.88,119.8,1.4,118.15,-3.2,122.05,-0.81,123.05,-0.73,2026-06-15T12:20:39
00924.TW,復華S&P500成長,32.28,32.94,-2.0,32.14,0.44,32.25,30.64,觀察中,OBS,0.09,49.0,32.29,32.22,1893060,2489714,0.76,33.07,23.27,35.48,,31.84,1.4,31.4,-1.04,31.73,-1.24,32.13,0.75,31.89,-2.18,32.6,0.15,32.55,-1.51,2026-06-15T12:20:39
00935.TW,野村台灣新科技50,60.85,62.4,-2.48,53.25,14.27,59.74,56.75,觀察中,OBS,1.86,51.9,61.2,60.5,15302809,18114127,0.84,62.65,19.52,51.46,,58.85,3.43,56.9,-0.35,57.1,-5.15,60.2,4.7,57.5,-4.01,59.9,-2.52,61.45,-1.92,2026-06-15T12:20:39
2327.TW,國巨,940.0,784.37,19.84,497.43,88.97,816.53,775.7,觀察中,OBS,15.12,76.0,940.0,921.0,42057701,50557220,0.83,940.0,112.82,74.31,1.94T,855.0,2.27,836.0,2.81,813.17,-0.85,820.12,9.99,745.65,-2.34,763.52,3.5,737.71,-9.39,2026-06-15T12:20:39
2377.TW,微星,140.0,141.5,-1.06,113.0,23.89,139.05,132.1,觀察中,OBS,0.68,59.7,142.5,136.5,17315147,34980149,0.49,149.0,85.0,20.71,118.3B,136.5,2.25,133.5,1.14,132.0,-5.38,139.5,5.68,132.0,-6.71,141.5,1.07,140.0,-4.44,2026-06-15T12:20:39
2308.TW,台達電,2210.0,2420.0,-8.68,2020.0,9.41,2299.5,2184.53,觀察中,OBS,-3.89,44.2,2320.0,2200.0,9397001,11214308,0.84,2520.0,393.5,95.92,5.74T,2215.0,2.55,2160.0,-1.82,2200.0,-8.9,2415.0,7.1,2255.0,-1.96,2300.0,-5.15,2425.0,-1.22,2026-06-15T12:20:39
2357.TW,華碩,792.0,837.0,-5.38,635.0,24.72,849.4,806.93,觀察中,Alert,-6.76,60.7,804.0,783.0,3775423,5903605,0.64,931.0,496.0,13.31,588.3B,785.0,0.13,784.0,-1.51,796.0,-6.35,850.0,0.71,844.0,-6.22,900.0,0.9,892.0,-4.19,2026-06-15T12:20:39
3413.TW,京鼎,322.0,316.5,1.74,312.26,3.12,310.2,294.69,觀察中,OBS,3.8,45.1,329.5,310.5,4562110,2820928,1.62,359.22,264.82,15.53,35.6B,307.5,5.13,292.5,-2.17,299.0,-4.32,312.5,5.04,297.5,-6.15,317.0,-1.55,322.0,0.78,2026-06-15T12:20:39
8996.TW,高力,1255.0,1045.0,20.1,1045.0,20.1,1169.0,1110.55,觀察中,OBS,7.36,50.6,1255.0,1190.0,1445756,3223695,0.45,1330.0,243.18,140.54,116.6B,1145.0,0.44,1140.0,-6.56,1220.0,-8.27,1330.0,9.92,1210.0,7.56,1125.0,0.45,1120.0,2.28,2026-06-15T12:20:39
7769.TW,鴻勁,7205.0,7515.0,-4.13,6655.0,8.26,7165.0,6806.75,觀察中,OBS,0.56,39.3,7575.0,7195.0,457606,924061,0.5,8260.0,1168.39,95.17,1.30T,7210.0,2.2,7055.0,3.14,6840.0,-1.51,6945.0,-1.28,7035.0,-3.3,7275.0,-1.49,7385.0,-1.86,2026-06-15T12:20:39
2301.TW,光寶科,207.5,234.5,-11.51,207.5,0.0,224.45,213.23,觸發加碼,Alert,-7.55,37.3,226.0,207.0,43536766,42106387,1.03,250.0,102.58,31.44,470.8B,217.0,4.08,208.5,-2.11,213.0,-4.91,224.0,2.52,218.5,-5.0,230.0,-7.44,248.5,-0.6,2026-06-15T12:20:39
4958.TW,臻鼎,590.0,544.28,8.4,385.86,52.91,524.27,498.06,觀察中,OBS,12.54,57.5,607.0,572.0,50819542,40821883,1.24,590.0,96.24,86.89,636.9B,552.0,4.35,529.0,5.38,502.0,-7.89,545.0,6.45,512.0,2.28,500.58,2.33,489.16,-3.43,2026-06-15T12:20:39
2383.TW,台光電,5030.0,5070.0,-0.79,4545.0,10.67,4913.5,4667.82,觀察中,OBS,2.37,42.9,5080.0,4935.0,2217745,2557706,0.87,5505.0,823.2,109.61,1.80T,4830.0,-5.2,5095.0,3.14,4940.0,-2.47,5065.0,6.18,4770.0,-2.35,4885.0,1.14,4830.0,0.0,2026-06-15T12:20:39
2404.TW,漢唐,1380.0,1175.0,17.45,1005.0,37.31,1207.5,1147.12,觀察中,OBS,14.29,58.2,1430.0,1360.0,5562224,4571827,1.22,1380.0,539.33,28.94,260.7B,1310.0,9.62,1195.0,3.91,1150.0,-3.36,1190.0,7.21,1110.0,-7.88,1205.0,-2.03,1230.0,6.49,2026-06-15T12:20:39
2408.TW,南亞科,395.5,381.5,3.67,305.0,29.67,372.1,353.5,觀察中,OBS,6.29,64.7,399.5,382.0,131984310,141329281,0.93,419.5,40.55,189.23,1.23T,374.0,10.0,340.0,2.1,333.0,-8.26,363.0,6.92,339.5,-5.69,360.0,-8.86,395.0,-1.62,2026-06-15T12:20:39
3037.TW,欣興,960.0,1050.0,-8.57,816.0,17.65,935.9,889.1,觀察中,OBS,2.58,38.9,961.0,920.0,16532783,25554110,0.65,1085.0,98.78,221.71,1.51T,902.0,5.62,854.0,-3.39,884.0,-8.77,969.0,6.37,911.0,-2.36,933.0,-3.91,971.0,-2.9,2026-06-15T12:20:39
2313.TW,華通,257.5,279.2,-7.77,256.43,0.42,264.4,251.18,觀察中,OBS,-2.61,42.2,272.0,257.0,73725826,80751968,0.91,295.54,53.56,46.82,306.9B,263.0,-4.36,275.0,6.18,259.0,-6.16,276.0,9.52,252.0,-2.7,259.0,-2.45,265.5,-0.38,2026-06-15T12:20:39
2912.TW,統一超,228.0,227.5,0.22,225.5,1.11,231.05,219.5,觀察中,OBS,-1.32,62.1,232.0,228.0,3576769,5659588,0.63,260.0,206.5,21.23,237.0B,230.0,0.44,229.0,0.66,227.5,1.56,224.0,0.9,222.0,-4.31,232.0,-5.69,246.0,2.93,2026-06-15T12:20:39
006208.TW,富邦台灣采吉50,244.1,243.9,0.08,219.4,11.26,239.7,227.71,觀察中,OBS,1.84,58.6,244.35,241.55,6841307,4774179,1.43,248.8,105.89,34.37,,236.1,2.21,231.0,-0.45,232.05,-3.13,239.55,2.44,233.85,-2.99,241.05,-1.99,245.95,-1.15,2026-06-15T12:20:39
3481.TW,群創,51.4,54.83,-6.26,37.83,35.87,50.55,48.02,觀察中,OBS,1.68,57.5,51.5,49.8,99517260,573329383,0.17,58.06,10.75,1713.33,410.2B,48.55,3.41,46.95,8.43,43.3,-9.77,47.99,1.54,47.26,-9.96,52.49,-3.76,54.54,-6.06,2026-06-15T12:20:39
3211.TWO,順達,428.5,436.0,-1.72,367.5,16.6,422.8,401.66,觀察中,OBS,1.35,41.6,440.0,422.0,6464521,10205610,0.63,469.0,178.0,47.66,66.1B,418.0,4.89,398.5,-1.6,405.0,-4.03,422.0,7.38,393.0,-7.09,423.0,-6.83,454.0,-2.16,2026-06-15T12:20:39
8299.TWO,群聯,2320.0,2770.0,-16.25,2735.0,-15.17,2413.0,2292.35,觸發加碼,OBS,-3.85,43.7,2400.0,2285.0,5857421,8752430,0.67,2880.0,467.4,58.39,512.9B,2310.0,5.0,2200.0,2.09,2155.0,-8.69,2360.0,4.89,2250.0,-8.16,2450.0,-5.04,2580.0,-3.91,2026-06-15T12:20:39
3680.TWO,家登,502.0,536.0,-6.34,539.38,-6.93,512.35,486.73,觀察中,OBS,-2.02,29.3,528.0,501.0,1049273,3180784,0.33,610.77,279.04,53.35,48.2B,503.0,4.79,480.0,-3.13,495.5,-4.53,519.0,3.59,501.0,-3.65,520.0,-3.17,537.0,-0.37,2026-06-15T12:20:39
5274.TWO,信驊,17810.0,18500.0,-3.73,16150.0,10.28,17792.0,16902.4,觀察中,OBS,0.1,53.5,19200.0,17805.0,225629,302583,0.75,18950.0,4375.0,172.43,673.3B,18445.0,4.8,17600.0,4.51,16840.0,-5.68,17855.0,1.88,17525.0,0.11,17505.0,-4.16,18265.0,1.59,2026-06-15T12:20:39
4979.TWO,華星光,550.0,650.0,-15.38,551.0,-0.18,557.8,529.91,觸發加碼,OBS,-1.4,35.5,550.0,516.0,939643,4994101,0.19,718.0,178.5,103.58,77.6B,501.0,5.92,473.0,-6.15,504.0,-10.0,560.0,4.28,537.0,-9.9,596.0,1.02,590.0,-7.38,2026-06-15T12:20:39
1785.TWO,光陽科,145.5,157.0,-7.32,143.5,1.39,139.05,132.1,觀察中,OBS,4.64,48.3,149.0,142.0,17643693,29495095,0.6,185.0,50.0,46.49,86.7B,141.5,-2.75,145.5,9.81,132.5,-0.38,133.0,1.92,130.5,-4.4,136.5,-2.15,139.5,-1.76,2026-06-15T12:20:39
5347.TWO,世界,174.5,179.0,-2.51,159.0,9.75,163.95,155.75,觀察中,OBS,6.43,55.9,176.5,170.5,27573082,38729158,0.71,185.5,88.0,41.35,328.0B,169.5,4.95,161.5,5.9,152.5,-5.28,161.0,2.88,156.5,-3.1,161.5,-0.92,163.0,-2.98,2026-06-15T12:20:39
3293.TWO,鈊象,751.0,769.0,-2.34,717.0,4.74,782.5,743.38,觀察中,OBS,-4.03,54.3,761.0,749.0,1397806,2322727,0.6,863.23,670.0,19.85,211.6B,755.0,-0.92,762.0,-4.63,799.0,-0.12,800.0,2.56,780.0,-1.27,790.0,-1.25,800.0,1.39,2026-06-15T12:20:39
4541.TWO,晟田,49.0,46.7,4.93,44.05,11.24,47.13,44.77,觀察中,OBS,3.97,78.7,49.25,47.75,1748894,1177276,1.49,64.3,39.3,24.26,3.3B,47.55,1.28,46.95,0.54,46.7,-0.64,47.0,1.08,46.5,-1.59,47.25,0.0,47.25,-0.11,2026-06-15T12:20:39
4931.TWO,新盛力,252.0,238.5,5.66,187.5,34.4,250.75,238.21,觀察中,OBS,0.5,59.5,258.5,240.5,10452200,13928663,0.75,279.5,80.72,80.77,16.5B,236.0,0.85,234.0,-7.14,252.0,-9.84,279.5,4.88,266.5,9.9,242.5,-6.73,260.0,2.36,2026-06-15T12:20:39
